,time,passenger_id,latitude,longitude,altitude,location,event
87,1686874159490,passenger25,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,passenger_consolidation
88,1686874159491,passenger5,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
89,1686874159492,passenger11,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
90,1686874159493,passenger17,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
91,1686874159494,passenger25,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,flight_assignment
92,1686874159495,passenger5,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
93,1686874159496,passenger11,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
94,1686874159497,passenger17,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
95,1686874159498,passenger25,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,boarding_start
96,1686874159499,passenger5,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
97,1686874159500,passenger11,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
98,1686874159501,passenger17,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
99,1686874159502,passenger25,33.9473995910249,-118.374275130822,0.0,RICHMOND_GATE,boarding_gate
100,1686874159945,passenger26,33.9473393894643,-118.373647676473,0.0,SJ_ENTRANCE,vertiport_entrance
101,1686874159946,passenger26,33.9471955065246,-118.37445960086,0.0,SJ_ROOM,enter_waiting_room
102,1686874168363,passenger27,33.9473393894643,-118.373647676473,0.0,RICHMOND_ENTRANCE,vertiport_entrance
103,1686874168364,passenger27,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,enter_waiting_room
104,1686874168589,passenger28,33.9473393894643,-118.373647676473,0.0,SFO_ENTRANCE,vertiport_entrance
105,1686874168590,passenger28,33.9471955065246,-118.37445960086,0.0,SFO_ROOM,enter_waiting_room
106,1686874178609,passenger29,33.9473393894643,-118.373647676473,0.0,RICHMOND_ENTRANCE,vertiport_entrance
107,1686874178610,passenger29,33.9471955065246,-118.37445960086,0.0,RICHMOND_ROOM,enter_waiting_room
108,1686874192518,passenger7,33.9473995910249,-118.374275130822,0.0,SJ_GATE,fato_arrival
109,1686874192519,passenger12,33.9473995910249,-118.374275130822,0.0,SJ_GATE,fato_arrival
110,1686874192520,passenger16,33.9473995910249,-118.374275130822,0.0,SJ_GATE,fato_arrival
111,1686874192521,passenger22,33.9473995910249,-118.374275130822,0.0,SJ_GATE,fato_arrival
