,time,tail_number,location,speed,soc,flight_direction,event,latitude,longitude,altitude
86,1686874681553,aircraft10,SJ_departure_fix,18.0,77.79,SJ_RICHMOND,climb_transition_end,37.304832,-121.863192,45.72
87,1686874683586,aircraft3,RICHMOND_SFO_waypoint_3,67.0,76.11000000000001,RICHMOND_SFO,cruise,37.86831,-122.345024,450.0
88,1686874701553,aircraft10,SJ_Richmond  and SJ_Stockton WP1,45.0,77.10000000000001,SJ_RICHMOND,climb_end,37.322571,-121.874046,106.68
89,1686874706068,aircraft2,Richmond_Stockton WP5,67.0,74.49000000000001,RICHMOND_STOCKTON,cruise,37.939736,-122.247608,450.0
90,1686874710814,aircraft11,Stockton_SJ_SFO WP2,56.0,69.98,STOCKTON_SJ,cruise,37.875074,-121.340927,450.0
91,1686874716791,aircraft12,STOCKTON_PARK15,0.0,80.0,STOCKTON_RICHMOND,pushback,37.9383214396354,-121.350687162705,0.0
92,1686874735586,aircraft3,RICHMOND_SFO_waypoint_4,67.0,75.17000000000002,RICHMOND_SFO,cruise,37.842344,-122.367809,450.0
93,1686874745508,aircraft0,RICHMOND_SFO_waypoint_9,67.0,69.85000000000002,RICHMOND_SFO,cruise,37.68048,-122.392684,450.0
94,1686874747309,aircraft12,STOCKTON_FATO1,0.0,80.0,STOCKTON_RICHMOND,fato_arrival,37.9381903031836,-121.350342496127,0.0
95,1686874765030,aircraft9,Merge SJ_SFO and Stockton_SFO,56.0,74.56,SJ_SFO,cruise,37.345088,-121.979224,450.0
96,1686874782309,aircraft12,Stockton FATO,0.0,77.69,STOCKTON_RICHMOND,hover_climb_end,37.93819,-121.350342,45.72
97,1686874793553,aircraft10,SJ_Richmond  and SJ_Stockton WP2,56.0,75.71000000000001,SJ_RICHMOND,cruise,37.367482,-121.889008,450.0
98,1686874798586,aircraft3,RICHMOND_SFO_waypoint_5,67.0,74.03000000000002,RICHMOND_SFO,cruise,37.808192,-122.38806,450.0
99,1686874823309,aircraft12,Stockton Departure Fix,18.0,76.05,STOCKTON_RICHMOND,climb_transition_end,37.931267,-121.347174,106.68
100,1686874825508,aircraft0,RICHMOND_SFO_waypoint_10,67.0,68.41000000000003,RICHMOND_SFO,cruise,37.634036,-122.409975,450.0
101,1686874834814,aircraft11,Stockton_SJ_SFO WP3,67.0,67.74000000000001,STOCKTON_SJ,cruise,37.809173,-121.385221,450.0
102,1686874844026,aircraft1,Richmond_Stockton WP6,67.0,69.23,RICHMOND_STOCKTON,cruise,37.967505,-122.028157,450.0
103,1686874847586,aircraft3,RICHMOND_SFO_waypoint_6,67.0,73.14000000000001,RICHMOND_SFO,cruise,37.778499,-122.384361,450.0
104,1686874854508,aircraft0,RICHMOND_SFO_waypoint_11,67.0,67.89000000000003,RICHMOND_SFO,cruise,37.618964,-122.399106,106.68
105,1686874861276,aircraft4,SFO_SJ_waypoint_2,56.0,74.02000000000001,SFO_SJ,cruise,37.579685,-122.146453,450.0
106,1686874865553,aircraft10,SJ_Richmond WP3,67.0,74.41000000000001,SJ_RICHMOND,cruise,37.409055,-121.903569,450.0
107,1686874870508,aircraft0,SFO_approach_fix,36.0,67.85000000000002,RICHMOND_SFO,final_approach_fix_arrival,37.61423,-122.378428,45.72
108,1686874878508,aircraft0,SFO_hover_fix,0.0,67.54000000000002,RICHMOND_SFO,hover_fix_arrival,37.621378,-122.376427,15.0
109,1686874879518,aircraft8,Merge To stockton WP2,67.0,65.95,SJ_STOCKTON,cruise,37.565294,-121.659237,450.0
110,1686874893508,aircraft0,SFO_FATO1,0.0,66.33000000000003,RICHMOND_SFO,landed,37.6213780437358,-122.376427342586,0.0
111,1686874893509,aircraft0,SFO_FATO1,0.0,66.33000000000003,RICHMOND_SFO,ready_for_taxi_in,37.6213780437358,-122.376427342586,0.0
112,1686874900586,aircraft3,RICHMOND_SFO_waypoint_7,67.0,72.18000000000002,RICHMOND_SFO,cruise,37.748262,-122.370386,450.0
113,1686874909553,aircraft10,Intersect Richmond_SJ and SJ Richmond,67.0,73.62,SJ_RICHMOND,cruise,37.435286,-121.908137,450.0
114,1686874924026,aircraft0,SFO_PARK11,0.0,66.33000000000003,RICHMOND_SFO,parked,37.6216274502736,-122.37623209125,0.0
